MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),FUEL CONS:COMB (L/100 km),FUEL CONS:COMB (mpg),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
BMW,430i xDRIVE CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.7,7.3,9.1,31,5,7,214
BMW,430i xDRIVE COUPE,COMPACT,2,4,AS8,Z,10.2,7.2,8.9,32,6,7,208
BMW,430i xDRIVE GRAN COUPE,COMPACT,2,4,AS8,Z,10.2,7.2,8.9,32,6,7,208
BMW,440i COUPE,COMPACT,3,6,AS8,Z,9.2,6.2,7.8,36,7,3,183
BMW,440i COUPE,COMPACT,3,6,M6,Z,12.1,8.1,10.3,27,5,3,240
BMW,440i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.8,7.9,10,28,5,3,235
BMW,440i xDRIVE COUPE,COMPACT,3,6,AS8,Z,11.1,7.5,9.5,30,5,3,223
BMW,440i xDRIVE COUPE,COMPACT,3,6,M6,Z,12.2,8.4,10.5,27,5,3,245
BMW,440i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,11.1,7.5,9.5,30,5,3,223
BMW,530i xDRIVE,MID-SIZE,2,4,AS8,Z,10.2,7.2,8.9,32,6,7,208
BMW,540i xDRIVE,MID-SIZE,3,6,AS8,Z,11.6,8.1,10,28,5,5,236
BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,12.3,8.4,10.5,27,4,3,248
BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,12.3,8.4,10.5,27,4,3,248
BMW,640i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,AS8,Z,11.9,8.4,10.3,27,5,5,241
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,AS8,Z,14.7,9.6,12.4,23,3,3,292
BMW,650i xDRIVE COUPE,SUBCOMPACT,4.4,8,AS8,Z,14,10,12.2,23,3,3,286
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,14.7,9.6,12.4,23,3,3,292
BMW,750i xDRIVE,FULL-SIZE,4.4,8,AS8,Z,14.7,9.6,12.4,23,3,3,292
BMW,750i xDRIVE SWB,FULL-SIZE,4.4,8,AS8,Z,14.3,9.4,12.1,23,4,3,283
BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,14.7,9.6,12.4,23,3,3,292
BMW,M2,SUBCOMPACT,3,6,AM7,Z,11.8,8.9,10.5,27,5,3,245
BMW,M2,SUBCOMPACT,3,6,M6,Z,13.1,9.2,11.4,25,4,3,267
BMW,M240i CABRIOLET,SUBCOMPACT,3,6,AS8,Z,10.9,7.7,9.5,30,5,3,222
BMW,M240i CABRIOLET,SUBCOMPACT,3,6,M6,Z,12.7,8.7,10.9,26,4,3,255
BMW,M240i COUPE,SUBCOMPACT,3,6,AS8,Z,10.9,7.7,9.5,30,5,3,222
BMW,M240i COUPE,SUBCOMPACT,3,6,M6,Z,12.5,8.4,10.7,26,4,3,249
BMW,M240i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.2,7.8,9.7,29,5,3,227
BMW,M240i xDRIVE COUPE,SUBCOMPACT,3,6,AS8,Z,11.2,7.8,9.7,29,5,3,227
BMW,M3,COMPACT,3,6,AM7,Z,13.5,9.9,11.9,24,4,3,280
