MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),FUEL CONS:COMB (L/100 km),FUEL CONS:COMB (mpg),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
GMC,YUKON XL FFV,SUV - STANDARD,5.3,8,A6,E,19.8,13.9,17.2,16,3,3,285
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,X,15.3,10.9,13.3,21,3,3,313
GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8,A6,X,15.3,10.9,13.3,21,3,3,312
GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.3,15.7,19.3,15,3,3,321
GMC,YUKON XL 4WD,SUV - STANDARD,6.2,8,A10,Z,17.1,11.3,14.5,19,2,3,340
HONDA,ACCORD,FULL-SIZE,1.5,4,AV,X,7.9,6.3,7.2,39,8,7,168
HONDA,ACCORD,FULL-SIZE,1.5,4,AV7,X,8.2,6.8,7.6,37,7,7,177
HONDA,ACCORD,FULL-SIZE,1.5,4,M6,X,8.9,6.7,7.9,36,7,6,185
HONDA,ACCORD,FULL-SIZE,2,4,M6,X,10.7,7.3,9.2,31,5,6,214
HONDA,ACCORD SPORT/TOURING,MID-SIZE,2,4,AS10,X,10.4,7.4,9.1,31,5,7,211
HONDA,ACCORD HYBRID,FULL-SIZE,2,4,AV,X,5,5.1,5.1,55,10,7,118
HONDA,CIVIC COUPE,COMPACT,1.5,4,AV,X,7.5,5.9,6.8,42,8,3,158
HONDA,CIVIC COUPE,COMPACT,1.5,4,M6,X,7.7,5.7,6.8,42,8,3,158
HONDA,CIVIC COUPE,COMPACT,2,4,AV,X,7.8,6,7,40,8,3,163
HONDA,CIVIC COUPE,COMPACT,2,4,M6,X,8.5,6.1,7.4,38,7,3,173
HONDA,CIVIC COUPE Si,COMPACT,1.5,4,M6,Z,8.4,6.2,7.4,38,7,3,173
HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,AV,X,7.7,6,6.9,41,8,3,162
HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,AV7,X,7.9,6.6,7.3,39,7,3,170
HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,M6,X,8,6.2,7.2,39,8,3,167
HONDA,CIVIC HATCHBACK SPORT,FULL-SIZE,1.5,4,AV7,Z,7.9,6.6,7.3,39,7,3,170
HONDA,CIVIC HATCHBACK SPORT,FULL-SIZE,1.5,4,M6,Z,8,6.2,7.2,39,8,3,167
HONDA,CIVIC SEDAN,MID-SIZE,1.5,4,AV,X,7.4,5.6,6.6,43,8,3,153
HONDA,CIVIC SEDAN,MID-SIZE,2,4,AV,X,7.8,6,7,40,8,3,163
HONDA,CIVIC SEDAN,MID-SIZE,2,4,M6,X,8.5,6,7.4,38,7,3,172
HONDA,CIVIC SEDAN Si,MID-SIZE,1.5,4,M6,Z,8.4,6.2,7.4,38,7,3,173
HONDA,CIVIC TYPE R,FULL-SIZE,2,4,M6,Z,10.6,8.3,9.6,29,5,3,224
HONDA,CR-V,SUV - SMALL,1.5,4,AV,X,8.4,7,7.8,36,7,5,181
HONDA,CR-V AWD,SUV - SMALL,1.5,4,AV,X,8.7,7.2,8,35,6,5,188
HONDA,FIT,STATION WAGON - SMALL,1.5,4,AV,X,7,5.9,6.5,43,8,7,151
HONDA,FIT,STATION WAGON - SMALL,1.5,4,AV7,X,7.6,6.5,7,40,8,7,166
HONDA,FIT,STATION WAGON - SMALL,1.5,4,M6,X,8.1,6.6,7.4,38,7,3,174
HONDA,HR-V,STATION WAGON - SMALL,1.8,4,AV,X,8.3,6.9,7.7,37,7,3,180
HONDA,HR-V,STATION WAGON - SMALL,1.8,4,AV7,X,8.3,6.9,7.7,37,7,3,180
HONDA,HR-V,STATION WAGON - SMALL,1.8,4,M6,X,9.4,7.1,8.4,34,6,3,195
HONDA,HR-V AWD,STATION WAGON - SMALL,1.8,4,AV,X,8.9,7.5,8.2,34,6,3,194
HONDA,HR-V AWD,STATION WAGON - SMALL,1.8,4,AV7,X,8.9,7.5,8.2,34,6,3,194
HONDA,ODYSSEY,MINIVAN,3.5,6,AS9,X,12.6,8.4,10.7,26,4,3,252
HONDA,ODYSSEY TOURING,MINIVAN,3.5,6,AS10,X,12.2,8.5,10.6,27,4,3,247
HONDA,PILOT AWD,SUV - SMALL,3.5,6,A6,X,13,9.3,11.3,25,4,3,266
HONDA,PILOT AWD,SUV - SMALL,3.5,6,AS9,X,12.4,9.3,11,26,4,3,256
HONDA,RIDGELINE AWD,PICKUP TRUCK - STANDARD,3.5,6,A6,X,12.8,9.5,11.3,25,4,3,264
HYUNDAI,ELANTRA,MID-SIZE,1.6,4,AM7,X,8.9,7,8.1,35,6,3,189
HYUNDAI,ACCENT,COMPACT,1.6,4,AS6,X,8.3,6.2,7.4,38,7,3,173
HYUNDAI,ACCENT,COMPACT,1.6,4,M6,X,8.2,6.3,7.3,39,7,3,173
HYUNDAI,ELANTRA,MID-SIZE,1.6,4,M6,X,10.7,7.8,9.4,30,5,3,221
HYUNDAI,ELANTRA,MID-SIZE,2,4,AS6,X,8.3,6.4,7.4,38,7,5,174
HYUNDAI,ELANTRA,MID-SIZE,2,4,M6,X,9.3,6.4,8,35,6,5,188
HYUNDAI,ELANTRA GT,FULL-SIZE,1.6,4,AM7,X,9.2,7.1,8.3,34,6,3,194
HYUNDAI,ELANTRA GT,FULL-SIZE,1.6,4,M6,X,10.7,8.1,9.6,29,5,3,226
HYUNDAI,ELANTRA GT,FULL-SIZE,2,4,AS6,X,9.4,7.2,8.4,34,6,3,198
HYUNDAI,ELANTRA GT,FULL-SIZE,2,4,M6,X,9.8,7.3,8.7,32,6,3,205
HYUNDAI,IONIQ,FULL-SIZE,1.6,4,AM6,X,4.3,4.4,4.3,66,10,7,102
HYUNDAI,IONIQ BLUE,FULL-SIZE,1.6,4,AM6,X,4.2,4,4.1,69,10,7,96
HYUNDAI,KONA,SUV - SMALL,2,4,AS6,X,8.6,7,7.9,36,7,5,186
HYUNDAI,KONA AWD,SUV - SMALL,1.6,4,AM7,X,9,8,8.6,33,6,5,201
HYUNDAI,KONA AWD,SUV - SMALL,2,4,AS6,X,9.2,7.8,8.6,33,6,5,202
HYUNDAI,SANTA FE,SUV - SMALL,3.3,6,AS6,X,12.9,9.4,11.3,25,4,3,265
HYUNDAI,SANTA FE AWD,SUV - SMALL,3.3,6,AS6,X,13,9.7,11.5,25,4,3,269
HYUNDAI,SANTA FE ULTIMATE AWD,SUV - SMALL,3.3,6,AS6,X,13.9,10.8,12.5,23,3,3,295
HYUNDAI,SANTA FE SPORT,SUV - SMALL,2.4,4,AS6,X,11.1,8.6,10,28,5,5,235
HYUNDAI,SANTA FE SPORT AWD,SUV - SMALL,2.4,4,AS6,X,12,9.1,10.7,26,4,5,253
HYUNDAI,SANTA FE SPORT ULTIMATE AWD,SUV - SMALL,2,4,AS6,X,12.5,9.6,11.2,25,4,3,264
HYUNDAI,SONATA,FULL-SIZE,2,4,AS8,X,10.4,7.4,9.1,31,5,5,212
HYUNDAI,SONATA,FULL-SIZE,2.4,4,AS6,X,9.8,6.9,8.5,33,6,5,202
HYUNDAI,SONATA HYBRID,MID-SIZE,2,4,AM6,X,6,5.3,5.7,50,9,7,135
HYUNDAI,SONATA HYBRID SE,MID-SIZE,2,4,AM6,X,5.9,5.1,5.6,50,9,7,132
HYUNDAI,TUCSON,SUV - SMALL,2,4,AS6,X,10.1,7.8,9,31,5,3,213
HYUNDAI,TUCSON AWD,SUV - SMALL,1.6,4,AM7,X,9.9,8.5,9.3,30,5,3,221
HYUNDAI,TUCSON AWD,SUV - SMALL,2,4,AS6,X,11,9.1,10.2,28,5,3,241
INFINITI,Q50 AWD,MID-SIZE,2,4,AS7,Z,10.7,8.6,9.7,29,5,3,228
INFINITI,Q50 AWD,MID-SIZE,3,6,AS7,Z,12.4,8.7,10.8,26,4,3,253
INFINITI,Q50 AWD RED SPORT,MID-SIZE,3,6,AS7,Z,12.5,9.3,11.1,25,4,3,260
INFINITI,Q50 HYBRID AWD,COMPACT,3.5,6,AS7,Z,9.1,7.7,8.5,33,6,3,200
INFINITI,Q60 AWD,SUBCOMPACT,2,4,AS7,Z,11.2,8.5,10,28,5,3,233
INFINITI,Q60 AWD,SUBCOMPACT,3,6,AS7,Z,12.3,8.6,10.7,26,4,3,251
INFINITI,Q60 AWD RED SPORT,SUBCOMPACT,3,6,AS7,Z,12.5,9.2,11,26,4,3,259
INFINITI,Q70 AWD,MID-SIZE,3.7,6,AS7,Z,13.2,9.8,11.7,24,4,3,274
INFINITI,Q70 AWD,MID-SIZE,5.6,8,AS7,Z,14.9,10.3,12.8,22,3,3,301
INFINITI,QX30,COMPACT,2,4,AM7,Z,9.7,7.1,8.5,33,6,3,200
INFINITI,QX30 AWD,COMPACT,2,4,AM7,Z,10.6,8,9.4,30,5,3,221
INFINITI,QX60 AWD,SUV - SMALL,3.5,6,AV7,Z,12.5,9,10.9,26,4,3,257
INFINITI,QX80 4WD,SUV - STANDARD,5.6,8,AS7,Z,17.4,12.2,15.1,19,2,3,354
JAGUAR,F-PACE 20d,SUV - SMALL,2,4,AS8,D,8.9,7.2,8.1,35,5,1,218
JAGUAR,F-PACE 25t,SUV - SMALL,2,4,AS8,Z,10.7,8.8,9.9,29,5,7,227
JAGUAR,F-PACE 35t,SUV - SMALL,3,6,AS8,Z,13.3,10,11.8,24,4,7,277
JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,2,4,AS8,Z,10.2,7.8,9.2,31,5,7,215
JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,3,6,AS8,Z,11.9,8.5,10.4,27,5,7,242
JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,3,6,M6,Z,14.9,9.8,12.6,22,3,7,296
JAGUAR,F-TYPE CONVERTIBLE R-DYNAMIC,TWO-SEATER,3,6,AS8,Z,12.4,8.8,10.8,26,4,7,253
JAGUAR,F-TYPE CONVERTIBLE R-DYNAMIC,TWO-SEATER,3,6,M6,Z,15.3,10,12.9,22,3,7,302
JAGUAR,F-TYPE CONVERTIBLE R-DYNAMIC AWD,TWO-SEATER,3,6,AS8,Z,13,9.2,11.3,25,4,7,265
JAGUAR,F-TYPE COUPE,TWO-SEATER,2,4,AS8,Z,10.2,7.8,9.2,31,5,7,215
JAGUAR,F-TYPE COUPE,TWO-SEATER,3,6,AS8,Z,11.9,8.5,10.4,27,5,7,242
JAGUAR,F-TYPE COUPE,TWO-SEATER,3,6,M6,Z,14.9,9.8,12.6,22,3,7,296
JAGUAR,F-TYPE COUPE R-DYNAMIC,TWO-SEATER,3,6,AS8,Z,12.4,8.8,10.8,26,4,7,253
JAGUAR,F-TYPE COUPE R-DYNAMIC,TWO-SEATER,3,6,M6,Z,15.3,10,12.9,22,3,7,302
JAGUAR,F-TYPE COUPE R-DYNAMIC AWD,TWO-SEATER,3,6,AS8,Z,13,9.2,11.3,25,4,7,265
JAGUAR,F-TYPE R AWD CONVERTIBLE,TWO-SEATER,5,8,AS8,Z,15.6,10.4,13.3,21,3,3,311
JAGUAR,F-TYPE R AWD COUPE,TWO-SEATER,5,8,AS8,Z,15.6,10.4,13.3,21,3,3,311
JAGUAR,XE 20d AWD,COMPACT,2,4,AS8,D,7.8,5.8,6.9,41,7,1,186
JAGUAR,XE 25t AWD,COMPACT,2,4,AS8,Z,9.8,6.9,8.5,33,6,7,200
JAGUAR,XE 35t AWD,COMPACT,3,6,AS8,Z,11.8,8.2,10.2,28,5,7,238
JAGUAR,XF 20d AWD,MID-SIZE,2,4,AS8,D,7.8,5.8,6.9,41,7,1,186
JAGUAR,XF 25t AWD,MID-SIZE,2,4,AS8,Z,10.1,7.2,8.8,32,6,7,207
JAGUAR,XF 35t AWD,MID-SIZE,3,6,AS8,Z,12,8.4,10.4,27,5,7,243
JAGUAR,XJ R-SPORT AWD,FULL-SIZE,3,6,AS8,Z,14,9,11.8,24,4,7,276
JAGUAR,XJL PORTFOLIO AWD,FULL-SIZE,3,6,AS8,Z,14,9.4,11.9,24,4,7,280
JAGUAR,XJR LWB,FULL-SIZE,5,8,AS8,Z,15.8,10.3,13.3,21,3,3,313
JEEP,CHEROKEE FFV,SUV - SMALL,2.4,4,A9,X,11,7.8,9.6,29,5,3,225
JEEP,CHEROKEE FFV,SUV - SMALL,2.4,4,A9,E,15.5,10.5,13.3,21,5,3,218
JEEP,CHEROKEE,SUV - SMALL,3.2,6,A9,X,11.4,8.3,10,28,5,3,234
JEEP,CHEROKEE 4X4 ACTIVE DRIVE I,SUV - SMALL,2.4,4,A9,X,11.3,8.4,10,28,5,3,235
JEEP,CHEROKEE 4X4 ACTIVE DRIVE I FFV,SUV - SMALL,2.4,4,A9,X,11.3,8.4,10,28,5,3,235
JEEP,CHEROKEE 4X4 ACTIVE DRIVE I FFV,SUV - SMALL,2.4,4,A9,E,16.3,11.3,14,20,5,3,231
JEEP,CHEROKEE 4X4 ACTIVE DRIVE I,SUV - SMALL,3.2,6,A9,X,11.6,8.6,10.3,27,5,3,241
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,2.4,4,A9,X,11.4,8.7,10.2,28,5,1,239
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,3.2,6,A9,X,12.8,9,11.1,25,4,3,259
JEEP,CHEROKEE 4X4 ACTIVE DRIVE LOCK,SUV - SMALL,2.4,4,A9,X,12.1,9.4,10.9,26,4,1,256
JEEP,CHEROKEE 4X4 ACTIVE DRIVE LOCK,SUV - SMALL,3.2,6,A9,X,12.9,9.9,11.6,24,4,3,269
JEEP,COMPASS,SUV - SMALL,2.4,4,A6,X,10.6,7.6,9.3,30,5,7,218
JEEP,COMPASS,SUV - SMALL,2.4,4,M6,X,10.4,7.3,9,31,5,3,211
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,A9,X,10.8,7.8,9.5,30,5,7,222
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,M6,X,10.8,7.6,9.4,30,5,3,221
JEEP,GRAND CHEROKEE 4X4,SUV - STANDARD,3,6,A8,D,11.2,8.5,10,28,4,1,268
JEEP,GRAND CHEROKEE 4X4,SUV - STANDARD,3.6,6,A8,X,12.7,9.6,11.3,25,4,5,265
JEEP,GRAND CHEROKEE 4X4,SUV - STANDARD,5.7,8,A8,X,16.7,10.9,14.1,20,3,3,331
JEEP,GRAND CHEROKEE 4X4 SRT,SUV - STANDARD,6.4,8,A8,Z,18.3,12.6,15.7,18,2,1,368
JEEP,GRAND CHEROKEE 4X4 TRACKHAWK,SUV - STANDARD,6.2,8,A8,Z,20.9,13.8,17.7,16,1,1,413
JEEP,NEW WRANGLER 4X4,SUV - SMALL,2,4,A8,X,10.5,9.4,10,28,5,5,233
JEEP,NEW WRANGLER 4X4,SUV - SMALL,3.6,6,A8,X,12.8,10.4,11.8,24,4,5,274
JEEP,NEW WRANGLER 4X4,SUV - SMALL,3.6,6,M6,X,13.7,9.6,11.8,24,4,5,277
JEEP,NEW WRANGLER UNLIMITED 4X4,SUV - SMALL,2,4,A8,X,10.9,10,10.5,27,5,5,245
JEEP,NEW WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,A8,X,12.9,10.2,11.7,24,4,5,275
JEEP,NEW WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,M6,X,13.8,10.1,12.2,23,3,5,285
JEEP,RENEGADE,SUV - SMALL,1.4,4,M6,X,9.9,7.7,8.9,32,5,3,209
JEEP,RENEGADE,SUV - SMALL,2.4,4,A9,X,10.8,7.8,9.5,30,5,7,222
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4,A9,X,10.8,7.8,9.5,30,5,3,222
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4,A9,E,14.4,10.2,12.5,23,6,3,206
JEEP,RENEGADE 4X4,SUV - SMALL,1.4,4,M6,X,9.9,7.7,8.9,32,5,3,211
JEEP,RENEGADE 4X4,SUV - SMALL,2.4,4,A9,X,11.2,8.2,9.8,29,5,7,230
JEEP,WRANGLER JK 4X4,SUV - SMALL,3.6,6,A5,X,14.1,11.1,12.8,22,3,3,299
JEEP,WRANGLER JK 4X4,SUV - SMALL,3.6,6,M6,X,14.2,11,12.8,22,3,3,298
JEEP,WRANGLER JK UNLIMITED 4X4,SUV - SMALL,3.6,6,A5,X,14.7,11.7,13.4,21,3,3,313
JEEP,WRANGLER JK UNLIMITED 4X4,SUV - SMALL,3.6,6,M6,X,15,11.4,13.3,21,3,3,312
KIA,CADENZA,FULL-SIZE,3.3,6,AS8,X,11.5,8.5,10.2,28,5,3,237
KIA,FORTE (MPI),MID-SIZE,2,4,AS6,X,8,6.1,7.1,40,8,5,168
KIA,FORTE (GDI),MID-SIZE,2,4,AS6,X,9.4,7,8.3,34,6,3,198
KIA,FORTE,MID-SIZE,2,4,M6,X,9.4,6.8,8.3,34,6,5,195
KIA,FORTE 5,FULL-SIZE,1.6,4,AM7,X,9.4,7.9,8.7,32,6,3,207
KIA,FORTE 5,FULL-SIZE,2,4,AS6,X,9.4,7,8.3,34,6,3,197
KIA,FORTE 5,FULL-SIZE,2,4,M6,X,9.8,7.3,8.7,32,6,3,204
KIA,K900,FULL-SIZE,3.8,6,AS8,X,13.8,9.3,11.8,24,4,3,279
KIA,K900,FULL-SIZE,5,8,AS8,Z,15.6,10.6,13.3,21,3,3,317
KIA,NIRO,STATION WAGON - SMALL,1.6,4,AM6,X,4.6,5.1,4.8,59,10,7,114
KIA,NIRO FE,STATION WAGON - SMALL,1.6,4,AM6,X,4.5,4.8,4.7,60,10,7,110
KIA,NIRO TOURING,STATION WAGON - SMALL,1.6,4,AM6,X,5.1,5.8,5.4,52,9,7,129
KIA,OPTIMA,FULL-SIZE,2,4,AS6,X,10.9,7.6,9.4,30,5,3,224
KIA,OPTIMA,FULL-SIZE,2.4,4,AS6,X,9.6,6.8,8.4,34,6,5,198
KIA,OPTIMA FE,FULL-SIZE,2.4,4,AS6,X,9.3,6.6,8,35,6,5,190
KIA,OPTIMA HYBRID,MID-SIZE,2,4,AM6,X,6,5.1,5.6,50,9,3,132
KIA,RIO,COMPACT,1.6,4,AS6,X,8.5,6.4,7.5,38,7,3,177
KIA,RIO,COMPACT,1.6,4,M6,X,8.3,6.4,7.5,38,7,3,175
KIA,SEDONA,MINIVAN,3.3,6,AS6,X,13.2,9.7,11.6,24,4,3,275
KIA,SEDONA SX,MINIVAN,3.3,6,AS6,X,12.9,9.5,11.4,25,4,3,269
KIA,SEDONA SXL,MINIVAN,3.3,6,AS6,X,14.1,10.5,12.5,23,3,3,296
KIA,SORENTO,SUV - SMALL,2.4,4,AS6,X,11.2,8.3,9.9,29,5,5,234
KIA,SORENTO AWD,SUV - SMALL,2,4,AS6,X,12.3,9.4,11,26,4,3,259
KIA,SORENTO AWD,SUV - SMALL,2.4,4,AS6,X,11.5,9.3,10.5,27,4,5,246
KIA,SORENTO AWD,SUV - SMALL,3.3,6,AS6,X,14,10.1,12.2,23,3,3,289
KIA,SORENTO AWD FE,SUV - SMALL,3.3,6,AS6,X,13.2,9.3,11.4,25,4,3,270
KIA,SOUL,STATION WAGON - SMALL,1.6,4,AM7,X,9.1,7.7,8.5,33,6,3,199
KIA,SOUL,STATION WAGON - SMALL,1.6,4,AS6,X,9.4,7.8,8.7,32,6,3,205
KIA,SOUL,STATION WAGON - SMALL,2,4,AS6,X,9.5,7.8,8.7,32,6,5,206
KIA,SPORTAGE,SUV - SMALL,2.4,4,AS6,X,10.3,7.8,9.2,31,5,5,218
KIA,SPORTAGE AWD,SUV - SMALL,2,4,AS6,X,11.9,10.2,11.1,25,4,3,263
KIA,SPORTAGE AWD,SUV - SMALL,2.4,4,AS6,X,11.3,9.5,10.5,27,4,5,247
KIA,STINGER AWD,MID-SIZE,3.3,6,AS8,Z,12.7,9.6,11.3,25,4,3,265
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12,AM7,Z,23.8,14.1,19.4,15,1,1,454
LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12,AM7,Z,24.2,14.5,19.8,14,1,1,464
LAMBORGHINI,AVENTADOR S COUPE,TWO-SEATER,6.5,12,AM7,Z,23.8,14.1,19.4,15,1,1,454
LAMBORGHINI,AVENTADOR S ROADSTER,TWO-SEATER,6.5,12,AM7,Z,24.2,14.5,19.8,14,1,1,464
LAMBORGHINI,HURACAN,TWO-SEATER,5.2,10,AM7,Z,16.8,11.4,14.4,20,2,1,336
LAMBORGHINI,HURACAN AWD,TWO-SEATER,5.2,10,AM7,Z,17.2,12.2,15,19,2,1,349
LAMBORGHINI,HURACAN SPYDER,TWO-SEATER,5.2,10,AM7,Z,16.7,11.7,14.5,19,2,1,337
LAMBORGHINI,HURACAN SPYDER AWD,TWO-SEATER,5.2,10,AM7,Z,17.2,12.3,15,19,2,1,350
LAND ROVER,DISCOVERY SPORT,SUV - SMALL,2,4,AS9,Z,11.4,9.3,10.5,27,5,7,246
LAND ROVER,RANGE ROVER EVOQUE,SUV - SMALL,2,4,AS9,Z,10.9,8,9.6,29,5,7,225
LAND ROVER,RANGE ROVER EVOQUE CONVERTIBLE,SUV - SMALL,2,4,AS9,Z,11.2,8.2,9.8,29,5,7,231
LAND ROVER,RANGE ROVER VELAR,SUV - SMALL,2,4,AS8,D,9.2,7.8,8.5,33,5,1,229
LAND ROVER,RANGE ROVER VELAR,SUV - SMALL,3,6,AS8,Z,13,10,11.6,24,4,7,273
LEXUS,ES 300h,MID-SIZE,2.5,4,AV6,X,5.8,6.1,5.9,48,9,7,139
LEXUS,ES 350,MID-SIZE,3.5,6,AS6,X,11.4,7.7,9.7,29,5,3,226
LEXUS,GS 350 AWD,MID-SIZE,3.5,6,AS6,Z,12.5,9.2,11,26,4,5,257
LEXUS,GS 450h,MID-SIZE,3.5,6,AV8,Z,8,6.9,7.5,38,7,7,176
LEXUS,GS F,COMPACT,5,8,AS8,Z,14.9,9.7,12.5,23,3,5,293
LEXUS,GX 460,SUV - STANDARD,4.6,8,AS6,Z,16,12.9,14.6,19,2,3,341
LEXUS,IS 300,COMPACT,2,4,AS8,Z,10.6,7.3,9.1,31,5,3,214
LEXUS,IS 300 AWD,COMPACT,3.5,6,AS6,Z,12.3,9.1,10.9,26,4,5,254
LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,12.3,9.1,10.9,26,4,5,254
LEXUS,LC 500,SUBCOMPACT,5,8,AS10,Z,14.7,9.2,12.2,23,3,5,286
LEXUS,LC 500h,SUBCOMPACT,3.5,6,AV10,Z,8.9,7,8,35,6,7,187
LEXUS,LS 500,MID-SIZE,3.4,6,AS10,Z,12.2,7.8,10.2,28,5,3,240
LEXUS,LS 500 AWD,MID-SIZE,3.4,6,AS10,Z,13,8.7,11,26,4,3,259
LEXUS,LS 500h,MID-SIZE,3.5,6,AV10,Z,9.4,7.1,8.4,34,6,7,195
LEXUS,LS 500h AWD,MID-SIZE,3.5,6,AV10,Z,10.3,7.6,9.1,31,5,7,211
LEXUS,LX 570,SUV - STANDARD,5.7,8,AS8,Z,18.2,12.8,15.8,18,2,3,371
LEXUS,NX 300 AWD,SUV - SMALL,2,4,AS6,Z,10.6,8.5,9.7,29,5,3,226
LEXUS,NX 300 AWD F SPORT,SUV - SMALL,2,4,AS6,Z,10.8,8.9,9.9,29,5,3,232
LEXUS,NX 300h AWD,SUV - SMALL,2.5,4,AV6,X,7.2,7.9,7.5,38,7,7,176
LEXUS,RC 300 AWD,SUBCOMPACT,3.5,6,AS6,Z,13.1,9.8,11.2,25,4,5,262
LEXUS,RC 350 AWD,SUBCOMPACT,3.5,6,AS6,Z,13.1,9.8,11.2,25,4,5,262
LEXUS,RC F,SUBCOMPACT,5,8,AS8,Z,15.2,9.5,12.6,22,3,5,289
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS8,X,12.2,9,10.8,26,4,5,252
LEXUS,RX 350 L AWD,SUV - SMALL,3.5,6,AS8,X,13.1,9.4,11.1,25,4,5,268
LEXUS,RX 450h AWD,SUV - STANDARD,3.5,6,AV6,Z,7.5,8.4,7.9,36,7,7,185
LINCOLN,CONTINENTAL AWD,FULL-SIZE,2.7,6,AS6,X,14,9.4,12,24,4,5,280
LINCOLN,CONTINENTAL AWD,FULL-SIZE,3,6,AS6,X,14.5,9.8,12.3,23,3,5,290
LINCOLN,CONTINENTAL AWD,FULL-SIZE,3.7,6,AS6,X,14.3,9.7,12.2,23,3,3,287
LINCOLN,MKC AWD,SUV - SMALL,2,4,AS6,X,12.3,9.3,10.9,26,4,5,256
LINCOLN,MKC AWD (Start/Stop),SUV - SMALL,2,4,AS6,X,12.1,9.3,10.8,26,4,5,254
LINCOLN,MKC AWD,SUV - SMALL,2.3,4,AS6,X,13.1,9.4,11.5,25,4,3,269
LINCOLN,MKT AWD,SUV - STANDARD,3.5,6,AS6,X,15.7,11.2,13.7,21,3,3,322
LINCOLN,MKT LIVERY AWD,SPECIAL PURPOSE VEHICLE,3.7,6,A6,X,14.7,10.2,12.7,22,3,3,298
LINCOLN,MKX AWD,SUV - SMALL,2.7,6,AS6,X,14.1,9.8,12.1,23,3,5,284
LINCOLN,MKX AWD,SUV - SMALL,3.7,6,AS6,X,14.3,10.3,12.5,23,3,3,293
LINCOLN,MKZ AWD,MID-SIZE,2,4,AS6,X,11.8,8.4,10.3,27,5,5,242
LINCOLN,MKZ AWD,MID-SIZE,3,6,AS6,X,14,9.2,11.8,24,4,5,278
LINCOLN,MKZ HYBRID,MID-SIZE,2,4,AV,X,5.7,6.2,5.9,48,9,7,139
LINCOLN,NAVIGATOR 4X4,SUV - STANDARD,3.5,6,AS10,X,14.9,11.3,13.3,21,3,5,310
MASERATI,GHIBLI,MID-SIZE,3,6,AS8,Z,14.1,9.8,12.2,23,3,1,286
MASERATI,GHIBLI S,MID-SIZE,3,6,AS8,Z,14.5,10,12.4,23,3,1,293
MASERATI,GHIBLI SQ4,MID-SIZE,3,6,AS8,Z,14.7,9.9,12.6,22,3,1,295
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.4,15.1,19,2,1,355
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.6,15.2,19,2,1,358
MASERATI,LEVANTE,SUV - STANDARD,3,6,AS8,Z,16.4,11.9,14.4,20,2,1,340
MASERATI,LEVANTE S,SUV - STANDARD,3,6,AS8,Z,16.6,12.2,14.7,19,2,1,346
MASERATI,QUATTROPORTE GTS,FULL-SIZE,3.8,8,AS8,Z,16.1,10.8,13.7,21,3,1,321
MASERATI,QUATTROPORTE S,FULL-SIZE,3,6,AS8,Z,14.9,10.3,12.8,22,3,1,300
MASERATI,QUATTROPORTE SQ4,FULL-SIZE,3,6,AS8,Z,15,10.3,12.8,22,3,1,301
MAZDA,CX-3,COMPACT,2,4,AS6,X,8.2,6.9,7.6,37,7,3,180
MAZDA,CX-3,COMPACT,2,4,M6,X,9,7,8.1,35,6,3,189
MAZDA,CX-3 4WD,COMPACT,2,4,AS6,X,8.8,7.5,8.2,34,6,3,192
MAZDA,CX-5 ,SUV - SMALL,2,4,M6,X,9.7,7.7,8.8,32,6,3,206
MAZDA,CX-5,SUV - SMALL,2.5,4,AS6,X,9.7,7.8,8.8,32,6,7,206
MAZDA,CX-5 (Cylinder Deactivation),SUV - SMALL,2.5,4,AS6,X,9.3,7.6,8.5,33,6,7,201
MAZDA,CX-5 4WD,SUV - SMALL,2.5,4,AS6,X,10.2,8.2,9.3,30,5,7,217
