MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
CADILLAC,CTS-V,MID-SIZE,6.2,8.0,AS8,Z,16.5,11.1,3.0,1.0,329.0
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8.0,A10,Z,16.6,10.9,3.0,3.0,329.0
CADILLAC,XT5,SUV - SMALL,3.6,6.0,AS8,X,12.1,8.9,4.0,5.0,250.0
CADILLAC,XT5 AWD,SUV - SMALL,3.6,6.0,AS8,X,12.8,9.3,4.0,5.0,263.0
CADILLAC,XTS,FULL-SIZE,3.6,6.0,AS6,X,13.2,8.5,4.0,5.0,260.0
CADILLAC,XTS AWD,FULL-SIZE,3.6,6.0,AS6,X,13.7,9.0,4.0,5.0,272.0
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6.0,AS6,Z,15.0,10.2,3.0,3.0,302.0
CHEVROLET,CAMARO,SUBCOMPACT,2.0,4.0,AS8,Z,10.8,7.6,5.0,5.0,220.0
CHEVROLET,CAMARO,SUBCOMPACT,2.0,4.0,M6,Z,11.9,7.9,5.0,5.0,235.0
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6.0,AS8,X,12.3,8.2,5.0,5.0,246.0
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6.0,M6,X,14.4,8.4,4.0,5.0,274.0
CHEVROLET,CAMARO SS,SUBCOMPACT,6.2,8.0,AS8,Z,14.2,8.7,4.0,1.0,273.0
CHEVROLET,CAMARO SS,SUBCOMPACT,6.2,8.0,M6,Z,14.3,9.4,3.0,1.0,284.0
CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8.0,AS10,Z,18.8,11.3,2.0,1.0,361.0
CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8.0,M6,Z,17.1,12.0,2.0,1.0,348.0
CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2.0,4.0,AV,X,9.8,8.8,5.0,3.0,218.0
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,12.1,9.2,4.0,5.0,253.0
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4.0,M6,X,11.9,9.2,4.0,5.0,251.0
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,10.8,8.0,4.0,3.0,257.0
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6.0,A8,X,13.4,9.6,4.0,5.0,274.0
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,12.6,9.8,4.0,5.0,266.0
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,12.1,8.3,4.0,3.0,279.0
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.6,6.0,A8,X,14.1,10.0,3.0,5.0,288.0
CHEVROLET,COLORADO ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,12.5,10.7,3.0,3.0,315.0
CHEVROLET,COLORADO ZR2 4WD,PICKUP TRUCK - SMALL,3.6,6.0,A8,X,15.0,13.0,3.0,5.0,331.0
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8.0,AS8,Z,15.5,9.2,3.0,1.0,297.0
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8.0,M7,Z,14.2,9.0,4.0,1.0,278.0
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8.0,AS8,Z,17.6,10.3,2.0,1.0,336.0
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8.0,M7,Z,15.6,10.6,3.0,1.0,312.0
CHEVROLET,CRUZE,COMPACT,1.4,4.0,AS6,X,8.0,5.9,8.0,6.0,166.0
CHEVROLET,CRUZE,COMPACT,1.4,4.0,M6,X,8.6,5.8,7.0,6.0,172.0
CHEVROLET,CRUZE PREMIER,COMPACT,1.4,4.0,AS6,X,8.1,6.0,8.0,6.0,169.0
CHEVROLET,CRUZE DIESEL,COMPACT,1.6,4.0,A9,D,7.7,5.0,7.0,3.0,175.0
CHEVROLET,CRUZE DIESEL,COMPACT,1.6,4.0,M6,D,7.8,4.6,7.0,3.0,170.0
CHEVROLET,CRUZE HATCHBACK,MID-SIZE,1.4,4.0,AS6,X,8.1,6.2,7.0,6.0,172.0
CHEVROLET,CRUZE HATCHBACK,MID-SIZE,1.4,4.0,M6,X,8.6,6.2,7.0,6.0,175.0
CHEVROLET,CRUZE HATCHBACK PREMIER,MID-SIZE,1.4,4.0,AS6,X,8.4,6.4,7.0,6.0,176.0
CHEVROLET,CRUZE HATCHBACK DIESEL,MID-SIZE,1.6,4.0,A9,D,7.8,5.2,7.0,3.0,178.0
CHEVROLET,CRUZE HATCHBACK DIESEL,MID-SIZE,1.6,4.0,M6,D,8.1,4.9,7.0,3.0,180.0
CHEVROLET,EQUINOX,SUV - SMALL,1.5,4.0,A6,X,9.2,7.3,6.0,5.0,195.0
CHEVROLET,EQUINOX,SUV - SMALL,1.6,4.0,A6,D,8.5,6.0,6.0,3.0,198.0
CHEVROLET,EQUINOX AWD,SUV - SMALL,1.5,4.0,A6,X,9.8,7.9,5.0,5.0,209.0
CHEVROLET,EQUINOX AWD,SUV - SMALL,1.6,4.0,A6,D,8.5,6.1,6.0,3.0,198.0
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.0,4.0,A9,Z,10.9,8.3,5.0,5.0,228.0
CHEVROLET,IMPALA,FULL-SIZE,2.5,4.0,AS6,X,10.9,7.9,5.0,3.0,224.0
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6.0,AS6,X,12.7,8.5,4.0,5.0,254.0
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6.0,AS6,E,17.2,11.6,5.0,5.0,245.0
CHEVROLET,MALIBU,MID-SIZE,1.5,4.0,A6,X,8.8,6.5,7.0,6.0,181.0
CHEVROLET,MALIBU,MID-SIZE,2.0,4.0,A9,Z,10.5,7.4,5.0,5.0,213.0
CHEVROLET,MALIBU HYBRID,MID-SIZE,1.8,4.0,AV,X,4.8,5.5,10.0,3.0,121.0
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,13.4,10.0,4.0,5.0,278.0
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,E,19.3,14.4,3.0,5.0,284.0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,14.6,10.3,3.0,3.0,298.0
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,14.6,10.3,3.0,3.0,298.0
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,19.7,13.9,4.0,3.0,283.0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,14.9,10.9,3.0,3.0,307.0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8.0,A8,Z,15.9,11.2,3.0,3.0,324.0
CHEVROLET,SILVERADO eASSIST,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,13.4,10.0,4.0,3.0,278.0
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,14.1,10.6,3.0,5.0,294.0
